                   location                    crops growth_stage environment  season                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      recommendation
10   Rawalpindi, Punjab, PK                  [Grape]   Vegetative     Outdoor  Autumn                                                                                                                                                                                                                             For Grape in Rawalpindi, Punjab, PK during Autumn at Vegetative stage in Outdoor environment, Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
11       Lahore, Punjab, PK                   [Corn]   Vegetative     Outdoor  Spring                                                                                                                                                                                                                                          For Corn in Lahore, Punjab, PK during Spring at Vegetative stage in Outdoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
12   Rawalpindi, Punjab, PK     [Grape, Corn, Apple]   Vegetative      Indoor  Winter                                    For Grape, Corn, Apple in Rawalpindi, Punjab, PK during Winter at Vegetative stage in Indoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
13  Attock City, Punjab, PK  [Pepper, Apple, Tomato]     Seedling      Indoor  Spring               For Pepper, Apple, Tomato in Attock City, Punjab, PK during Spring at Seedling stage in Indoor environment, plant basil as companion to repel hornworms and improve flavor. Ensure consistent watering to prevent blossom end rot. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
14   Faisalabad, Punjab, PK           [Potato, Corn]     Seedling     Outdoor  Winter                                                                                                                                  For Potato, Corn in Faisalabad, Punjab, PK during Winter at Seedling stage in Outdoor environment, Avoid planting near tomatoes to prevent blight. Hill up soil to protect tubers from sunlight. Use Three Sisters method with beans and squash for natural support and nutrient boost. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
15  Attock City, Punjab, PK   [Grape, Pepper, Apple]    Flowering     Outdoor  Autumn                                      For Grape, Pepper, Apple in Attock City, Punjab, PK during Autumn at Flowering stage in Outdoor environment, Companion with onions to deter aphids. Provide support for heavy fruiting plants. Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
16       Lahore, Punjab, PK          [Grape, Potato]   Vegetative      Indoor  Winter                                                                                                                            For Grape, Potato in Lahore, Punjab, PK during Winter at Vegetative stage in Indoor environment, Avoid planting near tomatoes to prevent blight. Hill up soil to protect tubers from sunlight. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
17   Rawalpindi, Punjab, PK    [Corn, Grape, Pepper]    Flowering      Indoor  Spring                                        For Corn, Grape, Pepper in Rawalpindi, Punjab, PK during Spring at Flowering stage in Indoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Train vines on trellis for good air circulation. Watch for powdery mildew in humid conditions. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
18   Rawalpindi, Punjab, PK           [Corn, Pepper]     Seedling      Indoor  Winter                                                                                                                                               For Corn, Pepper in Rawalpindi, Punjab, PK during Winter at Seedling stage in Indoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
19       Lahore, Punjab, PK    [Pepper, Apple, Corn]   Vegetative     Outdoor  Spring                                                   For Pepper, Apple, Corn in Lahore, Punjab, PK during Spring at Vegetative stage in Outdoor environment, Use Three Sisters method with beans and squash for natural support and nutrient boost. Companion with onions to deter aphids. Provide support for heavy fruiting plants. Plant garlic nearby to repel codling moths. Prune in dormant season for better yield. Monitor for local pests common in Punjab like fruit flies or aphids, and use organic pesticides if needed.
